section,displayed_value,quantity,source_file,source_field,aggregation,uncertainty_source
5.6,+11.87 pp,H2 direct-prediction win-rate difference,results/paper_rendering_verified/drafts/table4_draft.md,reading column,win rate,3 seeds reported separately
5.7,"+0.0032 [-0.0033,+0.0094]","H2 isolated mechanism, overlap-weighted, n=5693",results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,overlap weighting,2000-draw paired series bootstrap
5.7,1.32 / 0.614,unweighted |SMD| on log scale; best matching balance,results/paper_synthesis_verified/claim_ledger_frozen.md,sec 4,as recorded,none
5.7,"-0.0084 / -0.0908 [-0.1401,-0.0438]","occurrence-head Brier skill, M5 / Favorita",results/paper_outline_verified/reviewer_risk_map.md,R8 evidence,as recorded,as recorded
5.8,"-0.0305 [-0.1418,+0.0912]",H3 M5,results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,ADI-median split,2000-draw paired series bootstrap
5.8,"-0.0428 [-0.1587,+0.0704]",H3 Favorita,results/paper_rendering_verified/drafts/table4_draft.md,estimate/ci,same,2000-draw paired series bootstrap
5.8,1.304 / 1.317,"ADI median split points, M5 / Favorita",results/paper_synthesis_verified/paper_readiness_verified.md,H3 block,as recorded,none
5.9,4.11%,"convex oracle over the best static mixture, M5",results/paper_outline_verified/claim_to_evidence_map.md,convex_oracle.json,as recorded,none quoted
5.9,2.15x,expert-diversity ceiling multiplier,results/paper_outline_verified/claim_to_evidence_map.md,expert_set_spec.json,as recorded,none quoted
5.9,"-2.43% [-2.74,-2.13]","frozen gate vs static mixture, first external dataset",results/paper_outline_verified/claim_to_evidence_map.md,external_benchmark.json,as recorded,as recorded
5.9,"+2.648% [+2.068,+3.287]","sequence gate, FreshRetailNet-LT",results/paper_outline_verified/claim_to_evidence_map.md,temporal_routing_encoder,as recorded,as recorded
5.9,-193.9%,"sequence gate, UCI Online Retail II",results/paper_outline_verified/claim_to_evidence_map.md,temporal_routing_encoder,as recorded,none
Abstract,about -19.8%,rounded from G = -19.76 at the direct-favourable cell,results/synthetic_source_verification/stage2_verified_cells.csv,gain,rounding of a mapped value,see the 4.8 row
Abstract,11.87 percentage points,H2 win-rate difference,results/paper_rendering_verified/drafts/table4_draft.md,reading column,see the 5.6 row,see the 5.6 row
Abstract/Introduction,3.152 / 4.202 / 4.220 (referenced qualitatively),classical estimators outrank both neural arms,results/paper_outline_verified/detailed_outline.md sec 5.2,classical_benchmark/benchmark.json,mean rank,none
Introduction,about -19.8%,"rounded from G = -19.76, direct-favourable cell",results/synthetic_source_verification/stage2_verified_cells.csv,gain,rounding of a mapped value,see the 4.8 row
Methods 4.1,0.0015,empirical mean-interval mode difference at d=4 (marginal control check),results/synthetic_source_verification/dgp_verification.md,marginal_control_pass block,as recorded,n/a
Methods,0.95 / +-0.8,bootstrap level; swept dependence levels,results/synthetic_source_verification/metric_sign.md; results/synthetic_source_verification/stage1_stage2_verified.md,bootstrap level; rho grid,setup constants,n/a
Methods,"5,856 / 5,857 / 0.017%",parameter counts and the match margin,results/synthetic_source_verification/point_hurdle_fairness.md,parameters (recorded),setup constant,n/a
Methods,"96 / 24 / 576 / 384 / 480 / 80 / 18 / 2,000 / 30 / 256 / 1e-3",protocol constants,results/synthetic_source_verification/point_hurdle_fairness.md; results/synthetic_source_verification/dgp_verification.md; results/synthetic_source_verification/metric_sign.md,"geometry, replication, bootstrap",setup constants,n/a
Methods,"1,200 / 1,941 / 1,829 / 1,688 / 1,576 / 300 / 20",empirical protocol constants,results/paper_rendering_verified/drafts/table3_draft.md,Table 3,setup constants,n/a
